name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nicosia,2018-01-26,13.3,6.7,9.6,13.3,5.1,9,5.7,77.6,3.228,100,16.67,rain,0,0,,17.3,4.3,1012,63.6,9.8,121.7,10.6,5,,2018-01-26T06:49:55,2018-01-26T17:08:33,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-27,14,5.9,9.9,14,4.1,9.7,2.9,63.6,0,0,0,,0,0,,16,292.4,1022,13.9,10,142.8,12.4,6,,2018-01-27T06:49:19,2018-01-27T17:09:34,0.36,Clear,Clear conditions throughout the day.,clear-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-28,16,4.2,10,16,4.2,9.7,4.2,69.4,0,0,0,,0,0,,8.1,7.8,1026.4,24.2,10,166.6,14.3,6,,2018-01-28T06:48:41,2018-01-28T17:10:36,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-29,15.6,4,9.2,15.6,4,9.1,4.4,74.4,0,0,0,,0,0,,10.8,244.9,1025.6,19,10,165,14.3,6,,2018-01-29T06:48:01,2018-01-29T17:11:38,0.43,Clear,Clear conditions throughout the day.,clear-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-30,17.7,3.1,9.5,17.7,3.1,9.5,4.3,73.4,0,0,0,,0,0,,14.3,165.2,1025.7,21,10,169.5,14.7,6,,2018-01-30T06:47:20,2018-01-30T17:12:40,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-31,17.6,4.7,10.9,17.6,4.7,10.9,6.7,77.5,0,0,0,,0,0,,10.4,91.9,1024.9,29.7,10,133,11.5,5,,2018-01-31T06:46:37,2018-01-31T17:13:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,LCEN,17510099999,17601099999,17607499999,17500099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-01,17.9,5.7,11.1,17.9,5.7,11.1,7.2,79.3,0.002,100,4.17,rain,0,0,,12.8,46.7,1026,22.3,10,170.9,14.7,6,,2018-02-01T06:45:53,2018-02-01T17:14:43,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LCEN,17530099999,17540099999,17510099999,17601099999,17607499999,17500099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-02,18.8,4.6,10.9,18.8,4.6,10.7,6.3,76.3,0.001,100,4.17,rain,0,0,,12.8,6.3,1028.1,31.7,9.9,164.1,14,6,,2018-02-02T06:45:07,2018-02-02T17:15:45,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"17530099999,LCEN,17540099999,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-03,17.7,8.1,11.9,17.7,6.8,11.8,7.2,74.9,0,0,0,,0,0,,9.6,229.3,1026.5,60.7,9.9,140.2,12,6,,2018-02-03T06:44:19,2018-02-03T17:16:46,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-04,16.6,8.3,12.3,16.6,8.3,12.3,9.1,81.3,0,0,0,,0,0,,14.3,41.1,1024.2,79.9,9.9,148.8,12.7,6,,2018-02-04T06:43:30,2018-02-04T17:17:48,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-05,18.3,9.6,12.9,18.3,9.2,12.9,9.9,82.9,0,0,0,,0,0,,12.4,50.6,1020.4,75,9.6,90.4,7.7,5,,2018-02-05T06:42:40,2018-02-05T17:18:49,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-06,20.2,8.3,13.4,20.2,8,13.3,10.3,83.5,0.001,100,4.17,rain,0,0,,13.2,37.9,1020.7,56.3,7,146.5,12.5,6,,2018-02-06T06:41:48,2018-02-06T17:19:50,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-07,20.7,6.9,13.4,20.7,6.9,13.4,8.1,73.3,0.001,100,4.17,rain,0,0,,14.3,51,1025.1,32.7,8.8,127.4,11.1,5,,2018-02-07T06:40:54,2018-02-07T17:20:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"17530099999,17540099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-08,19.6,8.8,14.5,19.6,7.7,14.4,8.4,68.6,0.089,100,4.17,rain,0,0,,17.2,32.1,1020.7,77.3,10,130.6,11.4,6,,2018-02-08T06:40:00,2018-02-08T17:21:52,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-09,22.1,8.3,14.4,22.1,8.3,14.4,9.3,73.9,0,0,0,,0,0,,30.2,232.5,1015.6,65.8,10,114.9,10,5,,2018-02-09T06:39:04,2018-02-09T17:22:52,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-02-10,18.6,10.5,14.6,18.6,10.5,14.6,11.3,81.4,0,0,0,,0,0,,21.5,41.7,1013.3,78.7,8.8,68.4,5.9,4,,2018-02-10T06:38:06,2018-02-10T17:23:52,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17540099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
